Nivel de consistência; Data; Vazão
2;1995-12-09;15.195
2;1995-12-09;14.003
2;1995-12-09;14.301
2;1995-12-09;25.623
2;1995-12-09;33.369
2;1995-12-09;29.496
2;1995-12-09;23.835
2;1995-12-09;18.174
2;1995-12-09;15.791
2;1995-12-09;15.195
2;1995-12-09;14.301
2;1995-12-09;13.407
2;1995-12-09;13.109
2;1995-12-09;16.983
2;1995-12-09;30.688
2;1995-12-09;40.818
2;1995-12-09;37.838
2;1995-12-09;33.071
2;1995-12-09;40.222
2;1995-12-09;61.375
2;1995-12-09;105.156
2;1995-12-09;113.61
2;1996-01-01;113.61
2;1996-01-02;111.469
2;1996-01-03;107.242
2;1996-01-04;99.004
2;1996-01-05;85.292
2;1996-01-06;70.909
2;1996-01-07;71.207
2;1996-01-08;68.824
2;1996-01-09;69.42
2;1996-01-09;61.375
2;1996-01-09;143.055
2;1996-01-09;145.443
2;1996-01-09;138.331
2;1996-01-09;125.703
2;1996-01-09;120.139
2;1996-01-09;116.854
2;1996-01-09;109.347
2;1996-01-09;107.242
2;1996-01-09;117.945
2;1996-01-09;121.243
2;1996-01-09;120.139
2;1996-01-09;129.094
2;1996-01-09;147.848
2;1996-01-09;152.712
2;1996-01-09;152.712
2;1996-01-09;151.489
2;1996-01-09;144.247
2;1996-01-09;129.094
2;1996-01-09;120.139
2;1996-01-09;110.406
2;1996-01-09;99.004
2;1996-02-01;91.058
2;1996-02-02;78.775
2;1996-02-03;68.228
2;1996-02-04;60.481
2;1996-02-05;52.139
2;1996-02-06;60.481
2;1996-02-07;72.488
2;1996-02-08;93.017
2;1996-02-09;114.687
2;1996-02-09;138.331
2;1996-02-09;146.643
2;1996-02-09;150.271
2;1996-02-09;149.058
2;1996-02-09;145.443
2;1996-02-09;135.995
2;1996-02-09;124.581
2;1996-02-09;109.347
2;1996-02-09;96.991
2;1996-02-09;86.241
2;1996-02-09;78.775
2;1996-02-09;81.54
2;1996-02-09;80.614
2;1996-02-09;75.154
2;1996-02-09;71.207
2;1996-02-09;70.015
2;1996-02-09;68.824
2;1996-02-09;67.93
2;1996-02-09;71.207
2;1996-02-09;91.058
2;1996-03-01;104.119
2;1996-03-02;107.242
2;1996-03-03;109.347
2;1996-03-04;110.406
2;1996-03-05;104.119
2;1996-03-06;97.995
2;1996-03-07;95.99
2;1996-03-08;115.769
2;1996-03-09;130.233
2;1996-03-09;138.331
2;1996-03-09;129.094
2;1996-03-09;116.854
2;1996-03-09;109.347
2;1996-03-09;102.06
2;1996-03-09;96.991
2;1996-03-09;92.035
2;1996-03-09;91.058
2;1996-03-09;99.004
2;1996-03-09;105.156
2;1996-03-09;109.347
2;1996-03-09;109.347
2;1996-03-09;105.156
2;1996-03-09;103.087
2;1996-03-09;96.991
2;1996-03-09;86.241
2;1996-03-09;74.261
2;1996-03-09;83.407
2;1996-03-09;150.271
2;1996-03-09;162.645
2;1996-03-09;163.906
2;1996-03-09;162.645
2;1996-04-01;152.712
2;1996-04-02;140.684
2;1996-04-03;129.094
2;1996-04-04;122.351
2;1996-04-05;112.537
2;1996-04-06;105.156
2;1996-04-07;95.99
2;1996-04-08;86.241
2;1996-04-09;76.052
2;1996-04-09;69.122
2;1996-04-09;65.248
2;1996-04-09;59.886
2;1996-04-09;55.417
2;1996-04-09;53.331
2;1996-04-09;49.756
2;1996-04-09;50.352
2;1996-04-09;50.352
2;1996-04-09;47.372
2;1996-04-09;44.393
2;1996-04-09;40.52
2;1996-04-09;37.838
2;1996-04-09;36.348
2;1996-04-09;34.859
2;1996-04-09;33.667
2;1996-04-09;32.475
2;1996-04-09;31.879
2;1996-04-09;32.475
2;1996-04-09;33.071
2;1996-04-09;33.071
2;1996-04-09;33.667
2;1996-05-01;34.263
2;1996-05-02;34.263
2;1996-05-03;33.667
2;1996-05-04;32.773
2;1996-05-05;31.284
2;1996-05-06;29.496
2;1996-05-07;28.006
2;1996-05-08;27.112
2;1996-05-09;26.517
2;1996-05-09;26.219
2;1996-05-09;25.921
2;1996-05-09;24.729
2;1996-05-09;24.133
2;1996-05-09;23.537
2;1996-05-09;23.239
2;1996-05-09;22.941
2;1996-05-09;22.941
2;1996-05-09;22.941
2;1996-05-09;22.643
2;1996-05-09;22.345
2;1996-05-09;22.345
2;1996-05-09;22.047
2;1996-05-09;21.451
2;1996-05-09;21.154
2;1996-05-09;21.154
2;1996-05-09;20.856
2;1996-05-09;20.558
2;1996-05-09;19.962
2;1996-05-09;19.366
2;1996-05-09;18.77
2;1996-05-09;18.174
2;1996-06-01;25.325
2;1996-06-02;28.304
2;1996-06-03;28.304
2;1996-06-04;25.325
2;1996-06-05;21.75
2;1996-06-06;24.133
2;1996-06-07;25.325
2;1996-06-08;22.643
2;1996-06-09;20.558
2;1996-06-09;19.664
2;1996-06-09;19.366
2;1996-06-09;19.366
2;1996-06-09;18.77
2;1996-06-09;18.472
2;1996-06-09;17.28
2;1996-06-09;16.089
2;1996-06-09;34.859
2;1996-06-09;42.903
2;1996-06-09;46.776
2;1996-06-09;44.989
2;1996-06-09;39.626
2;1996-06-09;29.496
2;1996-06-09;24.431
2;1996-06-09;22.345
2;1996-06-09;20.856
2;1996-06-09;19.068
2;1996-06-09;24.729
2;1996-06-09;38.434
2;1996-06-09;49.756
2;1996-06-09;54.523
2;1996-07-01;52.139
2;1996-07-02;47.968
2;1996-07-03;44.393
2;1996-07-04;40.818
2;1996-07-05;36.944
2;1996-07-06;33.071
2;1996-07-07;43.499
2;1996-07-08;61.673
2;1996-07-09;81.54
2;1996-07-09;116.854
2;1996-07-09;115.769
2;1996-07-09;107.242
2;1996-07-09;99.004
2;1996-07-09;87.196
2;1996-07-09;68.228
2;1996-07-09;58.694
2;1996-07-09;52.139
2;1996-07-09;42.605
2;1996-07-09;35.157
2;1996-07-09;31.879
2;1996-07-09;29.794
2;1996-07-09;28.006
2;1996-07-09;26.814
2;1996-07-09;25.921
2;1996-07-09;25.921
2;1996-07-09;25.921
2;1996-07-09;26.219
2;1996-07-09;26.219
2;1996-07-09;25.623
2;1996-07-09;24.431
2;1996-07-09;22.345
2;1996-08-01;21.154
2;1996-08-02;20.856
2;1996-08-03;20.558
2;1996-08-04;20.26
2;1996-08-05;19.962
2;1996-08-06;19.962
2;1996-08-07;19.664
2;1996-08-08;19.664
2;1996-08-09;19.664
2;1996-08-09;46.18
2;1996-08-09;57.8
2;1996-08-09;57.204
2;1996-08-09;53.331
2;1996-08-09;48.266
2;1996-08-09;65.248
2;1996-08-09;69.717
2;1996-08-09;69.717
