Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:65025000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65025000;2;01/03/1996;;1;1;163,906;74,261;111,692;30;26;1;1;1;;0;104,119;107,242;109,347;110,406;104,119;97,995;95,99;115,769;130,233;138,331;129,094;116,854;109,347;102,06;96,991;92,035;91,058;99,004;105,156;109,347;109,347;105,156;103,087;96,991;86,241;74,261;83,407;150,271;162,645;163,906;162,645;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/04/1996;;1;1;152,712;31,879;64,864;1;26;2;2;2;;0;152,712;140,684;129,094;122,351;112,537;105,156;95,99;86,241;76,052;69,122;65,248;59,886;55,417;53,331;49,756;50,352;50,352;47,372;44,393;40,52;37,838;36,348;34,859;33,667;32,475;31,879;32,475;33,071;33,071;33,667;;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/05/1996;;1;1;34,263;18,174;24,671;1;31;1;1;1;;0;34,263;34,263;33,667;32,773;31,284;29,496;28,006;27,112;26,517;26,219;25,921;24,729;24,133;23,537;23,239;22,941;22,941;22,941;22,643;22,345;22,345;22,047;21,451;21,154;21,154;20,856;20,558;19,962;19,366;18,77;18,174;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/06/1996;;1;1;54,523;16,089;28,115;30;16;1;1;1;;0;25,325;28,304;28,304;25,325;21,75;24,133;25,325;22,643;20,558;19,664;19,366;19,366;18,77;18,472;17,28;16,089;34,859;42,903;46,776;44,989;39,626;29,496;24,431;22,345;20,856;19,068;24,729;38,434;49,756;54,523;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/07/1996;;1;1;116,854;22,345;49,807;10;31;1;1;1;;0;52,139;47,968;44,393;40,818;36,944;33,071;43,499;61,673;81,54;116,854;115,769;107,242;99,004;87,196;68,228;58,694;52,139;42,605;35,157;31,879;29,794;28,006;26,814;25,921;25,921;25,921;26,219;26,219;25,623;24,431;22,345;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/08/1996;;1;1;69,717;19,664;36,377;16;7;1;1;1;;0;21,154;20,856;20,558;20,26;19,962;19,962;19,664;19,664;19,664;46,18;57,8;57,204;53,331;48,266;65,248;69,717;69,717;67,632;62,865;53,033;41,711;34,263;29,794;26,517;24,431;23,537;22,345;24,431;24,133;22,345;21,451;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/09/1996;;1;1;117,945;28,9;63,724;12;1;1;1;1;;0;28,9;36,944;41,413;61,077;66,44;65,248;61,375;57,204;68,526;91,058;113,61;117,945;113,61;103,087;89,118;74,261;67,036;62,865;57,502;51,841;46,18;40,52;36,348;31,879;44,095;49,16;51,543;54,225;62,865;65,844;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/10/1996;;1;1;131,377;44,393;83,385;28;19;1;1;1;;0;65,248;62,865;63,461;76,052;86,241;89,118;80,614;70,611;66,44;60,183;50,352;48,862;56,31;61,673;62,567;59,29;53,927;46,776;44,393;78,775;115,769;124,581;124,581;120,139;115,769;111,469;126,829;131,377;121,243;110,406;99,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/11/1996;;1;1;131,377;37,838;80,255;18;30;1;1;1;;0;96,991;95,99;91,058;83,407;74,261;68,824;63,461;56,012;56,012;53,927;60,481;68,824;81,54;96,991;101,037;111,469;129,094;131,377;127,959;119,04;105,156;93,017;80,614;68,824;62,865;55,714;50,054;44,989;40,818;37,838;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/12/1996;;1;1;158,888;33,071;86,222;30;2;1;1;1;;0;35,157;33,071;36,646;44,393;48,564;50,054;49,756;46,18;40,222;35,455;53,927;76,052;107,242;113,61;109,347;99,004;87,196;71,207;63,461;58,098;56,31;67,632;138,331;143,055;138,331;131,377;126,829;140,684;155,169;158,888;157,644;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
