Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;08/07/1969;12,431;
64005000;1;1;09/07/1969;29,551;
64005000;1;1;10/07/1969;11,957;
64005000;1;1;11/07/1969;9,789;
64005000;1;1;12/07/1969;7,137;
64005000;1;1;13/07/1969;7,137;
64005000;1;1;14/07/1969;7,28;
64005000;1;1;15/07/1969;6,151;
64005000;1;1;16/07/1969;6,29;
64005000;1;1;17/07/1969;6,013;
64005000;1;1;18/07/1969;5,738;
64005000;1;1;19/07/1969;5,602;
64005000;1;1;20/07/1969;5,738;
64005000;1;1;21/07/1969;5,875;
64005000;1;1;22/07/1969;5,738;
64005000;1;1;23/07/1969;8,296;
64005000;1;1;24/07/1969;12,431;
64005000;1;1;25/07/1969;12,431;
64005000;1;1;26/07/1969;11,018;
64005000;1;1;27/07/1969;10,247;
64005000;1;1;28/07/1969;7,28;
64005000;1;1;29/07/1969;6,852;
64005000;1;1;30/07/1969;6,57;
64005000;1;1;31/07/1969;5,738;
64005000;1;1;01/08/1969;6,29;
64005000;1;1;02/08/1969;7,423;
64005000;1;1;03/08/1969;9,638;
64005000;1;1;04/08/1969;12,114;
64005000;1;1;05/08/1969;6,711;
64005000;1;1;06/08/1969;6,711;
64005000;1;1;07/08/1969;6,852;
64005000;1;1;08/08/1969;12,75;
64005000;1;1;09/08/1969;8,591;
64005000;1;1;10/08/1969;8,296;
64005000;1;1;11/08/1969;8,003;
64005000;1;1;12/08/1969;7,857;
64005000;1;1;13/08/1969;7,857;
64005000;1;1;14/08/1969;7,712;
64005000;1;1;15/08/1969;7,712;
64005000;1;1;16/08/1969;7,567;
64005000;1;1;17/08/1969;7,567;
64005000;1;1;18/08/1969;7,423;
64005000;1;1;19/08/1969;7,423;
64005000;1;1;20/08/1969;7,712;
64005000;1;1;21/08/1969;8,739;
64005000;1;1;22/08/1969;8,739;
64005000;1;1;23/08/1969;8,296;
64005000;1;1;24/08/1969;8,003;
64005000;1;1;25/08/1969;7,712;
64005000;1;1;26/08/1969;7,423;
64005000;1;1;27/08/1969;6,852;
64005000;1;1;28/08/1969;9,037;
64005000;1;1;29/08/1969;9,789;
64005000;1;1;30/08/1969;9,789;
64005000;1;1;31/08/1969;8,591;
64005000;1;1;01/09/1969;8,003;
64005000;1;1;02/09/1969;7,712;
64005000;1;1;03/09/1969;7,423;
64005000;1;1;04/09/1969;6,852;
64005000;1;1;05/09/1969;20,466;
64005000;1;1;06/09/1969;7,857;
64005000;1;1;07/09/1969;6,994;
64005000;1;1;08/09/1969;8,296;
64005000;1;1;09/09/1969;10,863;
64005000;1;1;10/09/1969;9,186;
64005000;1;1;11/09/1969;8,591;
64005000;1;1;12/09/1969;7,567;
64005000;1;1;13/09/1969;6,852;
64005000;1;1;14/09/1969;12,114;
64005000;1;1;15/09/1969;16,185;
64005000;1;1;16/09/1969;11,018;
